Paramètres de la simulation
Taille du terrain,1 km
Nombre de cellules par direction,200
Vecteur vitesse du vent,0,0
Position initiale du foyer,10,10
Nombre de threads utilisés,8

TimeStep,Time_Avancement,T_Affichage,T_total
1,0.0226036,0.00549877,0.0281028
2,0.00526833,0.00181245,0.00708094
3,0.00209119,0.00146761,0.0035589
4,0.0114696,0.0018742,0.0133441
5,0.00356628,0.0014651,0.00503167
6,0.00180859,0.00169185,0.00350053
7,0.0106919,0.00193445,0.0126267
8,0.0138533,0.00174376,0.0155975
9,0.00450281,0.00158434,0.00608855
10,0.0118135,0.00154773,0.0133615
11,0.0133235,0.00173682,0.0150605
12,0.00879561,0.00167439,0.0104702
13,0.00314967,0.00203555,0.00518568
14,0.00402393,0.00165442,0.00567864
15,0.00375193,0.00167353,0.00542566
16,0.00290849,0.00235469,0.00526342
17,0.00859207,0.00200678,0.0105991
18,0.000446845,0.005847,0.00629401
19,0.00257795,0.00199917,0.00457732
20,0.000479558,0.00155023,0.00202998
21,0.00344513,0.00165207,0.00509739
22,0.00452521,0.00183617,0.00636158
23,0.000425729,0.0046994,0.00512531
24,0.00275138,0.00169598,0.00444751
25,0.00732682,0.00194939,0.00927654
26,0.00220557,0.00172665,0.00393237
27,0.000439713,0.0014601,0.00189989
28,0.000427203,0.00153077,0.00195813
29,0.00335749,0.00193223,0.00528989
30,0.000507863,0.0016436,0.00215155
31,0.000439387,0.00155303,0.0019925
32,0.00177463,0.00188351,0.00365821
33,0.000476304,0.00159817,0.00207459
34,0.00044877,0.00156154,0.00201041
35,0.00265273,0.00223656,0.00488959
36,0.00533345,0.00205743,0.00739116
37,0.000907493,0.0018763,0.002784
38,0.00273444,0.00211653,0.00485115
39,0.000501155,0.00323475,0.0037361
40,0.00255486,0.00198033,0.00453537
41,0.00303712,0.00190366,0.004941
42,0.00561255,0.00223376,0.0078464
43,0.00345772,0.00187628,0.00533426
44,0.000541256,0.00184654,0.00238787
45,0.00366691,0.00245497,0.00612214
46,0.00192488,0.00343219,0.00535763
47,0.00079015,0.00195203,0.00274233
48,0.000492817,0.00180229,0.00229529
49,0.00172027,0.00204006,0.00376042
50,0.000503201,0.00184507,0.00234835
51,0.000509291,0.00186351,0.0023729
52,0.00250186,0.00210529,0.00460723
53,0.000515216,0.00192026,0.00243556
54,0.000511604,0.00188792,0.00239964
55,0.0011751,0.00222683,0.00340203
56,0.000530209,0.00195183,0.00248212
57,0.000529909,0.00197296,0.00250294
58,0.00157609,0.00215092,0.00372708
59,0.000569771,0.00206854,0.0026384
60,0.000535676,0.00209554,0.0026313
61,0.000556818,0.00217237,0.00272933
62,0.000589365,0.00222787,0.00281733
63,0.000555804,0.00213497,0.00269094
64,0.000584029,0.00210515,0.00268935
65,0.000573526,0.00211184,0.00268546
66,0.000566836,0.00224759,0.0028146
67,0.00203773,0.00238754,0.00442544
68,0.000588733,0.00224795,0.00283677
69,0.00296269,0.00284306,0.00580608
70,0.000796748,0.00250179,0.0032987
71,0.0020738,0.00298096,0.00505492
72,0.00089624,0.00251348,0.0034098
73,0.000615487,0.00242333,0.0030389
74,0.000639676,0.00241969,0.00305946
75,0.00350968,0.00304252,0.00655232
76,0.000666698,0.00464879,0.00531567
77,0.000639455,0.00286572,0.00350535
78,0.000654675,0.00498634,0.00564123
79,0.000798186,0.00287764,0.00367603
80,0.00286666,0.00285302,0.00571986
81,0.000809724,0.00486967,0.00567964
82,0.000724043,0.00298044,0.00370471
83,0.00447699,0.0107488,0.0152261
84,0.0152303,0.00797397,0.0232047
85,0.00301592,0.00529,0.00830602
86,0.000788049,0.0031174,0.00390555
87,0.000832392,0.00527001,0.00610266
88,0.000736584,0.00758612,0.00832289
89,0.00111664,0.00517665,0.00629347
90,0.000916247,0.00319837,0.00411474
91,0.000764851,0.00523799,0.00600294
92,0.00075043,0.00529346,0.00604413
93,0.000781647,0.00339728,0.00417903
94,0.00082832,0.0055016,0.00633021
95,0.000811826,0.00499921,0.00581144
96,0.00132559,0.00331684,0.00464254
97,0.000795222,0.00553576,0.00633121
98,0.000834184,0.00609579,0.00693029
99,0.00109398,0.0077367,0.00883095
100,0.00251027,0.00719229,0.00970285
101,0.00103945,0.0063621,0.00740184
102,0.000999058,0.00634067,0.00733992
103,0.0011045,0.0061489,0.00725367
104,0.00104535,0.00364407,0.00468966
105,0.000908579,0.00627077,0.00717953
106,0.000991339,0.00643802,0.00742956
107,0.00112502,0.00646112,0.00758634
108,0.00105144,0.00635038,0.007402
109,0.00118369,0.0057461,0.00693003
110,0.00123814,0.00402704,0.00526536
111,0.00201353,0.00562246,0.00763684
112,0.00103136,0.00666786,0.00769941
113,0.000992265,0.00650547,0.0074979
114,0.00111351,0.0080843,0.00919808
115,0.00137548,0.00668258,0.00805824
116,0.00100936,0.00638211,0.00739165
117,0.00117619,0.00643358,0.00761003
118,0.00111821,0.00674774,0.00786619
119,0.00121487,0.00656977,0.00778489
120,0.00105507,0.00680799,0.00786331
121,0.00104242,0.00695118,0.00799387
122,0.00104435,0.00660683,0.00765146
123,0.00129543,0.00476443,0.00606006
124,0.003738,0.00558574,0.00932394
125,0.00246053,0.00475108,0.00721188
126,0.00336426,0.00500306,0.00836751
127,0.00349511,0.00482961,0.00832491
128,0.0032976,0.00508765,0.00838544
129,0.00126083,0.00489161,0.00615265
130,0.0044777,0.0106002,0.0150782
131,0.00258105,0.00543901,0.00802026
132,0.00321217,0.00514168,0.00835398
133,0.00317899,0.0082697,0.011449
134,0.00130938,0.00763856,0.00894813
135,0.00148799,0.00753876,0.00902702
136,0.00137032,0.00738474,0.00875527
137,0.00156003,0.00744275,0.009003
138,0.00167579,0.00760416,0.00928021
139,0.00158757,0.00767291,0.00926068
140,0.00254426,0.00681986,0.0093643
141,0.00313243,0.00532204,0.00845468
142,0.00286741,0.00535907,0.00822667
143,0.00291153,0.00554098,0.0084527
144,0.00297703,0.00555809,0.00853541
145,0.00257308,0.0055635,0.00813677
146,0.00279822,0.00566452,0.00846293
147,0.00332588,0.00576697,0.00909303
148,0.00182241,0.00592294,0.00774554
149,0.00187029,0.00644289,0.00831353
150,0.00210677,0.00611608,0.00822322
151,0.00215322,0.00609787,0.00825128
152,0.00233913,0.00611614,0.00845572
153,0.00227084,0.00602232,0.00829339
154,0.00226746,0.00633311,0.0086008
155,0.0020869,0.00648044,0.00856754
156,0.0020534,0.00628726,0.00834091
157,0.00190595,0.00647755,0.0083838
158,0.00219674,0.00652592,0.00872289
159,0.00178864,0.00731418,0.00910304
160,0.00161952,0.00709452,0.00871433
