Paramètres de la simulation
Taille du terrain,1 km
Nombre de cellules par direction,300
Vecteur vitesse du vent,0,0
Position initiale du foyer,10,10
Nombre de threads utilisés,1

TimeStep,Time_Avancement,T_Affichage,T_total
1,9.454e-06,0.0101687,0.0101785
2,4.32e-06,0.00330745,0.00331191
3,5.57e-06,0.00311262,0.00311836
4,7.068e-06,0.00234648,0.00235371
5,8.138e-06,0.00234028,0.00234857
6,1.0105e-05,0.00296131,0.00297162
7,1.5904e-05,0.00589334,0.00590941
8,1.4576e-05,0.00291674,0.00293146
9,1.6868e-05,0.00285233,0.00286941
10,1.8743e-05,0.00235508,0.002374
11,1.8783e-05,0.00408987,0.00410886
12,2.903e-05,0.0024962,0.00252541
13,4.2817e-05,0.00267757,0.00272055
14,4.3624e-05,0.00374668,0.00379046
15,4.4748e-05,0.00235116,0.00239625
16,5.0312e-05,0.0031005,0.00315098
17,6.4943e-05,0.00334824,0.00341333
18,5.8836e-05,0.00263162,0.0026906
19,6.5541e-05,0.00349604,0.00356296
20,0.00011892,0.0027269,0.00284607
21,8.9876e-05,0.00357746,0.00366768
22,8.9042e-05,0.00315112,0.00324103
23,9.108e-05,0.00242586,0.00251711
24,8.8092e-05,0.00298305,0.00307129
25,0.000123854,0.00260291,0.00272692
26,9.0528e-05,0.00253921,0.00263038
27,9.6171e-05,0.00291604,0.00301239
28,0.000104699,0.00272618,0.00283121
29,0.00011643,0.00265306,0.00276965
30,0.000117558,0.00317273,0.00329044
31,0.000120988,0.0027988,0.00291996
32,0.000124579,0.00272378,0.0028485
33,0.000150837,0.00272525,0.00287625
34,0.000131307,0.00251963,0.00265111
35,0.000130723,0.00264486,0.00277574
36,0.000138911,0.00361047,0.00374985
37,0.000162976,0.00293581,0.00309893
38,0.000147191,0.00259777,0.00274511
39,0.000157304,0.0025031,0.00266054
40,0.000177379,0.0024464,0.00262391
41,0.000165328,0.00254663,0.00271211
42,0.000168538,0.00250183,0.00267071
43,0.000163666,0.00246619,0.00263019
44,0.000167004,0.00267784,0.00284524
45,0.000180211,0.0111347,0.0113158
46,0.000799925,0.00324996,0.00405016
47,0.000214839,0.0026676,0.0028826
48,0.000260558,0.00307488,0.00333559
49,0.00021078,0.00461005,0.00482097
50,0.000209031,0.00291977,0.00312896
51,0.000215586,0.00343855,0.00365428
52,0.00022203,0.00293964,0.00316183
53,0.000228138,0.00319178,0.00342008
54,0.000241796,0.00290768,0.00314963
55,0.000250138,0.00296031,0.00321061
56,0.000256056,0.00335092,0.00360715
57,0.000265802,0.00304027,0.00330624
58,0.00028746,0.00352149,0.00380915
59,0.000360896,0.00328733,0.00364837
60,0.000323003,0.00365071,0.00397389
61,0.00031034,0.00325872,0.00356923
62,0.000327637,0.00366221,0.00398999
63,0.000335001,0.00337285,0.00370801
64,0.00036181,0.00356574,0.00392771
65,0.000369747,0.00353166,0.00390214
66,0.000372009,0.00369261,0.00406478
67,0.000466845,0.00399703,0.0044642
68,0.0005745,0.00383196,0.00440665
69,0.000458822,0.00322383,0.00368282
70,0.000468954,0.00336243,0.00383189
71,0.00047563,0.00357219,0.00404806
72,0.000457264,0.00317069,0.00362949
73,0.000569079,0.00313697,0.00370639
74,0.000492151,0.00305718,0.00354958
75,0.000551839,0.00298707,0.00353906
76,0.000491915,0.00293803,0.0034302
77,0.000524034,0.0032383,0.00376254
78,0.000541815,0.00305046,0.00359248
79,0.000538476,0.00344072,0.00397936
80,0.000545524,0.0030354,0.00358107
81,0.000564059,0.00331688,0.00388109
82,0.000568111,0.00307325,0.00364166
83,0.000570419,0.00319491,0.00376548
84,0.000589975,0.00315556,0.00374578
85,0.000599252,0.00314931,0.00374872
86,0.000621004,0.00314444,0.00376561
87,0.00062087,0.00318686,0.00380788
88,0.000643413,0.00318732,0.00383092
89,0.000649851,0.00376036,0.0044104
90,0.000698764,0.00388726,0.00458619
91,0.000626159,0.00394642,0.00457273
92,0.000666128,0.00394353,0.00460981
93,0.000635893,0.00399924,0.00463528
94,0.000656122,0.00405387,0.0047102
95,0.000696733,0.00419347,0.00489038
96,0.000700851,0.00407468,0.0047757
97,0.000736329,0.00418818,0.00492467
98,0.000748492,0.0045938,0.00534246
99,0.000770656,0.00498531,0.00575612
100,0.000749838,0.00468262,0.00543263
101,0.000735025,0.00358621,0.00432142
102,0.000831835,0.00379236,0.00462435
103,0.000761062,0.00350445,0.00426587
104,0.000825223,0.00346577,0.00429115
105,0.000763298,0.00429843,0.00506187
106,0.000794088,0.00437517,0.00516945
107,0.000802327,0.00462447,0.00542695
108,0.00084063,0.00447848,0.00531927
109,0.000800712,0.00461893,0.00541979
110,0.000775484,0.0045059,0.00528155
111,0.000767349,0.00446948,0.00523697
