Paramètres de la simulation
Taille du terrain,1 km
Nombre de cellules par direction,300
Vecteur vitesse du vent,0,0
Position initiale du foyer,10,10
Nombre de threads utilisés,8

TimeStep,Time_Avancement,T_Affichage,T_Total
1,0.00958842,0.00901736,0.00958856
2,0.00354045,0.0033843,0.0131481
3,0.00587121,0.00569371,0.0190354
4,0.00307541,0.00292688,0.022127
5,0.00434172,0.00417441,0.0264848
6,0.00454563,0.00433982,0.0310491
7,0.0035538,0.00340153,0.0346185
8,0.00298375,0.00282177,0.0376194
9,0.00273039,0.00257829,0.0403639
10,0.00370483,0.00353,0.0440824
11,0.00305475,0.00267459,0.0471517
12,0.00389502,0.00370537,0.0510618
13,0.00422187,0.00391297,0.0553512
14,0.00293849,0.00267178,0.0583061
15,0.00351882,0.0030838,0.0618656
16,0.00302574,0.00278141,0.0649052
17,0.005284,0.00499088,0.0702021
18,0.00333701,0.002969,0.0735858
19,0.00372074,0.00348076,0.077322
20,0.0030411,0.00276836,0.0803777
21,0.00337224,0.00310704,0.0837625
22,0.00529226,0.00498682,0.0890674
23,0.00481142,0.00448896,0.0938925
24,0.00353142,0.00325444,0.097438
25,0.0037888,0.00353636,0.101244
26,0.00468401,0.00436803,0.106006
27,0.00337644,0.00312665,0.109398
28,0.00396612,0.00350672,0.113383
29,0.00354148,0.00326489,0.116939
30,0.00434552,0.00404768,0.121301
31,0.00459409,0.00430202,0.125938
32,0.00399197,0.00375246,0.129941
33,0.00407832,0.00372115,0.134031
34,0.00481302,0.00454527,0.138857
35,0.0039667,0.00370382,0.142836
36,0.00360503,0.00335184,0.146455
37,0.00380483,0.00352157,0.150281
38,0.00567003,0.00536488,0.15597
39,0.00394279,0.00363984,0.159926
40,0.00340887,0.00305314,0.163347
41,0.00403193,0.00364707,0.167388
42,0.00493291,0.0045169,0.172335
43,0.00416971,0.00377016,0.176516
44,0.00371914,0.00323384,0.180252
45,0.00411921,0.00364764,0.184385
46,0.00361864,0.00318435,0.188019
47,0.00461738,0.00417134,0.192648
48,0.0045552,0.00384276,0.197256
49,0.00554474,0.00510354,0.202815
50,0.00453823,0.00410863,0.207367
