Paramètres de la simulation
Taille du terrain,1 km
Nombre de cellules par direction,300
Vecteur vitesse du vent,0,0
Position initiale du foyer,10,10
Nombre de threads utilisés,4

TimeStep,Time_Avancement,T_Affichage,T_Total
1,0.00971846,0.00879835,0.00971874
2,0.00514618,0.00500116,0.0148826
3,0.00412677,0.00386437,0.0190325
4,0.00418192,0.0040253,0.0232331
5,0.00316144,0.00298514,0.0264122
6,0.00330496,0.00311111,0.0297294
7,0.00407736,0.00390673,0.0338254
8,0.00305288,0.00289211,0.0368987
9,0.00291893,0.00274457,0.039828
10,0.00362939,0.0032617,0.0434914
11,0.00332313,0.00287311,0.0468292
12,0.00413221,0.0039292,0.0509779
13,0.00471444,0.00445607,0.0557093
14,0.00366151,0.00344011,0.0593864
15,0.00394954,0.00371752,0.0633491
16,0.00307126,0.00285205,0.0664333
17,0.00376837,0.00348037,0.0702108
18,0.00454081,0.0042301,0.0747736
19,0.00348125,0.00303915,0.0783046
20,0.00409593,0.00381007,0.0824128
21,0.00343011,0.00313734,0.0858607
22,0.003761,0.00348029,0.0896351
23,0.00336095,0.00306714,0.09301
24,0.0036918,0.00308418,0.0967133
25,0.00331154,0.00301972,0.100036
26,0.00627517,0.00593677,0.106322
27,0.00507131,0.00473797,0.111413
28,0.00648627,0.00615045,0.117917
29,0.00574613,0.00530338,0.12368
30,0.00519936,0.00482134,0.128925
31,0.00525941,0.00491656,0.134197
32,0.00746859,0.00713113,0.14168
33,0.00699386,0.00667027,0.14869
34,0.00592658,0.00556576,0.154632
35,0.00620765,0.00576185,0.160853
36,0.00800697,0.00762049,0.168876
37,0.0062994,0.00589088,0.175195
38,0.00601339,0.00557556,0.181231
39,0.00951955,0.00910338,0.190766
40,0.00538482,0.0049508,0.196171
41,0.00546637,0.00490952,0.201656
42,0.0049544,0.00444588,0.206627
43,0.00567638,0.00528413,0.212326
44,0.00692596,0.00650529,0.219272
45,0.00696451,0.00648976,0.226254
46,0.00580581,0.00537218,0.232078
47,0.00424743,0.00369864,0.23635
48,0.00554801,0.00517451,0.241916
49,0.00678623,0.00621313,0.248724
50,0.00787698,0.00728623,0.256634
51,0.00679958,0.00627015,0.263462
52,0.0117693,0.00669965,0.275253
53,0.00711903,0.00603635,0.282392
54,0.00704445,0.00593624,0.289456
55,0.0074219,0.00664782,0.296896
56,0.00795568,0.00630536,0.304871
57,0.00921463,0.00594207,0.314106
58,0.00711708,0.00654872,0.321244
59,0.0109448,0.0103676,0.332207
60,0.0125748,0.0117858,0.344799
