Paramètres de la simulation
Taille du terrain,1 km
Nombre de cellules par direction,200
Vecteur vitesse du vent,0,0
Position initiale du foyer,10,10
Nombre de threads utilisés,8

TimeStep,Time_Avancement,T_Affichage,T_Total
1,0.00526273,0.00467919,0.005263
2,0.00269472,0.00256258,0.00801015
3,0.00120359,0.00115973,0.00922764
4,0.00202555,0.00198809,0.0112623
5,0.00272485,0.00266933,0.0140053
6,0.00122439,0.00113368,0.0152423
7,0.00243452,0.00233509,0.017689
8,0.00159671,0.00150278,0.0193038
9,0.00154779,0.0014997,0.0208653
10,0.0013108,0.00126668,0.0221893
11,0.00242631,0.00190222,0.0246239
12,0.00200039,0.00194062,0.0266403
13,0.00212235,0.00200973,0.0287781
14,0.00215617,0.00204659,0.03095
15,0.00127608,0.0011754,0.0322401
16,0.00119968,0.00110613,0.0334464
17,0.00269869,0.00257572,0.0361507
18,0.00174356,0.00160863,0.0379118
19,0.00124635,0.00112946,0.0391689
20,0.0013917,0.00125787,0.0405648
21,0.00164915,0.00146423,0.0422282
22,0.00263739,0.00240622,0.0448775
23,0.00206382,0.00184073,0.0469824
24,0.00133223,0.00119722,0.0483271
25,0.00163526,0.00144799,0.0499668
26,0.00160042,0.00139152,0.0515804
27,0.00160162,0.00143568,0.0531873
28,0.00143941,0.00128072,0.0546347
29,0.00188928,0.0017014,0.0565291
30,0.00309781,0.00285464,0.0596439
31,0.00181853,0.00157526,0.0614944
32,0.00153767,0.00135694,0.0630437
33,0.00159229,0.00139887,0.0646418
34,0.00211765,0.00189345,0.066767
35,0.00317548,0.00286063,0.0699555
36,0.00186601,0.00163371,0.0718406
37,0.00166933,0.00145153,0.0735201
38,0.00231815,0.0020851,0.0758445
39,0.00170255,0.00146428,0.0775613
40,0.00192357,0.00172065,0.0794903
41,0.00205171,0.00186313,0.0815535
42,0.00225832,0.00205874,0.0838195
43,0.00294185,0.00274684,0.0867712
44,0.00254551,0.00233806,0.0893272
45,0.00249014,0.00200864,0.0918276
46,0.00210325,0.00187443,0.0939409
47,0.00220781,0.00196697,0.096157
48,0.00210918,0.00183074,0.0982768
49,0.00270858,0.00240836,0.100995
50,0.00188994,0.00162161,0.102894
51,0.00232788,0.00206944,0.105231
52,0.00183687,0.00159195,0.107082
53,0.00170683,0.00146769,0.108794
54,0.00194445,0.0016919,0.110743
55,0.00227169,0.00199696,0.113024
56,0.00227827,0.00199916,0.115319
57,0.0027384,0.00241508,0.118069
58,0.00186641,0.00158877,0.119947
59,0.00242806,0.00212402,0.122382
60,0.0018555,0.00158832,0.124246
61,0.00194805,0.00166015,0.1262
62,0.00191918,0.00163822,0.128128
63,0.00284408,0.00251398,0.130979
64,0.00352633,0.00313052,0.13452
65,0.00204536,0.00167465,0.136602
66,0.00244653,0.00209742,0.139055
67,0.00202923,0.00168373,0.141107
68,0.00204116,0.00170577,0.143153
69,0.00223751,0.0018881,0.145398
70,0.00287776,0.00247546,0.148298
71,0.003115,0.00266214,0.151426
72,0.00223026,0.00187544,0.153667
73,0.00261334,0.00221317,0.15629
74,0.00221961,0.00185137,0.15852
75,0.002212,0.00184267,0.160738
76,0.00238771,0.00199278,0.163132
77,0.00304517,0.00263649,0.166186
78,0.00299148,0.00255548,0.169191
79,0.00262379,0.00220897,0.171824
80,0.00242785,0.00199212,0.174261
81,0.00232969,0.00190708,0.176597
82,0.00270543,0.0022837,0.179311
83,0.00332094,0.00274569,0.182641
84,0.00292088,0.00235817,0.185587
85,0.00270206,0.0022755,0.188298
86,0.00267861,0.00224612,0.19099
87,0.00252484,0.00210291,0.193531
88,0.00297541,0.00249768,0.196513
89,0.00321782,0.00271333,0.199739
90,0.00293356,0.00240138,0.202699
91,0.00265097,0.00218924,0.20536
92,0.00253382,0.00208585,0.2079
93,0.00267897,0.00221958,0.210589
94,0.00268247,0.00220875,0.21328
95,0.00349832,0.00296142,0.216786
96,0.00295283,0.00229784,0.219776
97,0.0027141,0.00220988,0.2225
98,0.00276731,0.00223709,0.225272
99,0.00306011,0.00240639,0.228338
100,0.00289492,0.00234469,0.231242
101,0.00482076,0.00410366,0.236078
102,0.00292339,0.00238445,0.239016
103,0.00283989,0.00229367,0.241869
104,0.00294102,0.00241708,0.244819
105,0.00291481,0.00237801,0.247745
106,0.00544601,0.00484353,0.253199
107,0.00296307,0.00237676,0.256177
108,0.00293995,0.00234967,0.259126
109,0.00306567,0.002338,0.262198
110,0.0031506,0.00244328,0.265357
111,0.00546571,0.00464825,0.270839
112,0.00310872,0.00245744,0.273958
113,0.00307695,0.0024345,0.277043
114,0.00358158,0.00289439,0.280633
115,0.00370776,0.00302415,0.284357
116,0.00322241,0.00249568,0.287591
117,0.00315828,0.00246961,0.290758
118,0.00324079,0.00255787,0.294007
119,0.00378838,0.00306005,0.297805
120,0.00439038,0.00346423,0.302212
121,0.00331421,0.00256315,0.30554
122,0.00334046,0.00261655,0.308887
123,0.00351014,0.00273992,0.312408
124,0.00451858,0.00369232,0.316936
125,0.00441433,0.00323998,0.321385
126,0.00404971,0.00293471,0.325452
127,0.00463297,0.00364909,0.330094
128,0.00477355,0.00354259,0.334889
129,0.00440865,0.0030882,0.339313
130,0.00409816,0.00311039,0.343425
131,0.00447237,0.0035422,0.34791
132,0.00460241,0.00362461,0.352525
133,0.00400449,0.0030641,0.356567
134,0.00429395,0.00333341,0.360872
135,0.0043302,0.0033492,0.365213
136,0.00470164,0.0036056,0.36993
137,0.00423763,0.00328873,0.37418
138,0.00426122,0.00329211,0.37845
139,0.0050168,0.00392792,0.383477
140,0.00451952,0.0034118,0.38802
141,0.00432884,0.00334421,0.392359
142,0.00437433,0.00335203,0.396742
143,0.00516928,0.00410795,0.401922
144,0.00445469,0.00339601,0.406394
145,0.00443601,0.00336658,0.410837
146,0.00468867,0.00358028,0.41554
147,0.00930531,0.00795301,0.424862
148,0.00474007,0.00336959,0.429614
149,0.00567648,0.00424449,0.4353
150,0.00431609,0.00320733,0.439627
151,0.00432526,0.00321412,0.44396
152,0.00461955,0.00345759,0.448589
153,0.0107946,0.00938153,0.459397
154,0.00526674,0.003691,0.46468
155,0.00498284,0.00352235,0.469693
156,0.00469753,0.00348273,0.474403
