Paramètres de la simulation
Taille du terrain,1 km
Nombre de cellules par direction,400
Vecteur vitesse du vent,0,0
Position initiale du foyer,10,10
Nombre de threads utilisés,2

TimeStep,Time_Avancement,T_Affichage,T_Total
1,0.023458,0.0218393,0.0234584
2,0.00873973,0.00838613,0.0322443
3,0.010248,0.00999905,0.042507
4,0.00856715,0.00832158,0.0510885
5,0.00981716,0.00955548,0.0609213
6,0.00851992,0.00819132,0.0694548
7,0.0100098,0.00957463,0.0795171
8,0.00916926,0.00887632,0.0886992
9,0.00918617,0.00856116,0.0979335
10,0.00863034,0.00836929,0.106579
11,0.0086904,0.0082149,0.115283
12,0.00994345,0.00962514,0.125241
13,0.00875025,0.00839026,0.134005
14,0.00966057,0.00933324,0.143677
15,0.00886898,0.00853185,0.152558
16,0.0102038,0.00984724,0.162775
17,0.00925153,0.00889482,0.172039
18,0.0103489,0.00987697,0.182405
19,0.00978582,0.00934031,0.192207
20,0.0123018,0.0115367,0.204526
21,0.00906207,0.00865264,0.213604
22,0.00947862,0.00908128,0.223093
23,0.00905554,0.00866238,0.232162
24,0.00767832,0.00726226,0.239853
25,0.00576788,0.00544349,0.245637
26,0.005786,0.00541812,0.251441
27,0.00683731,0.00644008,0.258295
28,0.00567936,0.00528651,0.263988
29,0.00738366,0.00707096,0.271386
30,0.00561131,0.00526796,0.277013
31,0.00548628,0.00515918,0.282513
32,0.00882205,0.00849893,0.291348
33,0.00617236,0.00580119,0.297533
34,0.00714166,0.00681252,0.304686
35,0.00555179,0.00519446,0.310252
36,0.00552785,0.00516609,0.315791
37,0.00679581,0.00646051,0.322597
38,0.00566923,0.00528976,0.328279
39,0.00584142,0.00545665,0.334132
40,0.00676979,0.00619491,0.340912
41,0.00593918,0.00554833,0.346867
42,0.0080458,0.00759379,0.354928
43,0.00670383,0.00621769,0.361685
44,0.00626454,0.00586434,0.367964
45,0.00638513,0.00590302,0.37436
46,0.00573367,0.0053013,0.380106
47,0.00780422,0.00736416,0.387921
48,0.00604934,0.00559387,0.394005
49,0.0059234,0.00547701,0.399943
50,0.00703123,0.00646589,0.406989
51,0.0059127,0.0053422,0.412913
52,0.00628098,0.00582253,0.419205
53,0.00784552,0.00732171,0.427062
54,0.00585803,0.00534639,0.432933
55,0.00712587,0.00666846,0.440072
56,0.00601284,0.00549815,0.446097
57,0.00811259,0.00758682,0.454222
58,0.00690293,0.00629193,0.461153
59,0.00688164,0.00635231,0.468048
60,0.00738134,0.00686265,0.475444
61,0.00614322,0.0055831,0.4816
62,0.00840363,0.00784781,0.49002
63,0.00648276,0.00589335,0.496519
64,0.00877107,0.00819708,0.505304
65,0.00696167,0.00638643,0.512279
66,0.00783834,0.00724274,0.520131
67,0.00650669,0.00570915,0.526669
68,0.0060335,0.00540261,0.532721
69,0.00724059,0.00659262,0.539973
70,0.0062789,0.00561255,0.546263
71,0.00757751,0.00691684,0.553852
72,0.00660602,0.00571512,0.560476
73,0.00638149,0.0056675,0.56688
74,0.00718859,0.00632327,0.57408
75,0.00658962,0.0057175,0.580682
76,0.00762558,0.00684245,0.58832
77,0.00649326,0.00569633,0.59484
78,0.00647352,0.00574776,0.601327
79,0.00713801,0.00624926,0.608477
80,0.0065381,0.00571439,0.615064
81,0.00827103,0.00731852,0.623346
82,0.00666647,0.00567609,0.630025
83,0.00756353,0.00661621,0.637605
84,0.00770319,0.00666396,0.645361
85,0.00851914,0.00769314,0.653893
86,0.00691241,0.00581531,0.660861
87,0.00661973,0.00578618,0.667493
88,0.00773567,0.00681918,0.675239
89,0.00684862,0.00583391,0.682099
90,0.00820438,0.00711204,0.690313
91,0.00699474,0.00586264,0.697325
92,0.00925608,0.00820451,0.706593
93,0.00707776,0.00614187,0.713689
94,0.00781548,0.00673666,0.721518
95,0.00775626,0.0065357,0.729295
96,0.00880102,0.00783395,0.73811
97,0.00766695,0.00667367,0.745791
98,0.00759341,0.00661998,0.753399
99,0.00753929,0.00648403,0.760955
100,0.0071213,0.0061162,0.768089
101,0.00840071,0.00699534,0.776505
102,0.00729437,0.00621875,0.783818
103,0.00839571,0.0072129,0.79223
104,0.00738656,0.00631875,0.799634
105,0.00909638,0.00766091,0.808746
106,0.00717792,0.00602079,0.815937
107,0.00932116,0.00787136,0.825269
108,0.00725358,0.00607672,0.832539
109,0.00977725,0.00853458,0.842327
110,0.00769178,0.00646513,0.850032
111,0.00890634,0.00772105,0.858956
112,0.0078291,0.0066458,0.866799
113,0.00953182,0.00773146,0.876344
114,0.0076942,0.00646594,0.884053
115,0.00883634,0.00740158,0.892902
116,0.00803726,0.00675621,0.900957
117,0.00926006,0.00749245,0.910234
118,0.00829232,0.00697266,0.918546
119,0.00875795,0.00718909,0.927322
120,0.00848049,0.00716771,0.93582
121,0.00860038,0.00675193,0.944437
122,0.00838143,0.00703905,0.952831
123,0.00862862,0.00664512,0.961498
124,0.00805091,0.00673434,0.969564
125,0.00892195,0.00752375,0.978502
126,0.00873265,0.00737137,0.987248
127,0.00844928,0.00688752,0.995717
128,0.01008,0.00867675,1.00581
129,0.00844918,0.00698252,1.01428
130,0.00959813,0.00812485,1.02389
131,0.00857289,0.00703802,1.03248
132,0.00960984,0.00805752,1.0421
133,0.00850742,0.0069091,1.05063
134,0.00959645,0.0078603,1.06024
135,0.00998715,0.00835291,1.07024
136,0.0103398,0.00815918,1.0806
137,0.0103931,0.00884757,1.09101
