Paramètres de la simulation
Taille du terrain,1 km
Nombre de cellules par direction,400
Vecteur vitesse du vent,0,0
Position initiale du foyer,10,10
Nombre de threads utilisés,4

TimeStep,Time_Avancement,T_Affichage,T_Total
1,0.0172699,0.0162155,0.0172703
2,0.00747091,0.00712547,0.0248018
3,0.00629804,0.00608041,0.0311219
4,0.0053089,0.00510638,0.0364448
5,0.00497922,0.00477515,0.0414413
6,0.00726092,0.00705491,0.0487146
7,0.00569372,0.00547746,0.0544278
8,0.00545686,0.00521028,0.0599023
9,0.00683188,0.00662266,0.0667622
10,0.00607377,0.00581275,0.0728493
11,0.00688761,0.0064052,0.0797498
12,0.00785696,0.00752202,0.0876237
13,0.00650004,0.00610389,0.0941377
14,0.00748087,0.00718502,0.101668
15,0.00606077,0.00575211,0.107743
16,0.00771449,0.00740155,0.115471
17,0.00645923,0.00614057,0.121944
18,0.00664079,0.00631352,0.128597
19,0.00819783,0.00789544,0.136809
20,0.00725359,0.0068929,0.144078
21,0.00627969,0.00599382,0.150372
22,0.00691372,0.00661783,0.157299
23,0.00635219,0.00606104,0.163665
24,0.00672779,0.00637183,0.170408
25,0.00853695,0.00814558,0.178959
26,0.00956299,0.0090148,0.188544
27,0.0101976,0.00956303,0.198769
28,0.010428,0.00995089,0.209214
29,0.0131566,0.0127012,0.222388
30,0.0103678,0.00979279,0.232771
31,0.0096797,0.00917449,0.242469
32,0.00958794,0.00891193,0.252075
33,0.00977963,0.00925775,0.261875
34,0.0101011,0.00959125,0.271993
35,0.0103054,0.00960752,0.282328
36,0.00867411,0.00813029,0.291019
37,0.00798474,0.0075668,0.299023
38,0.0152949,0.0147567,0.31434
39,0.00882602,0.00841986,0.323184
40,0.00694061,0.00651947,0.330141
41,0.00648764,0.00607874,0.336642
42,0.00689616,0.00643505,0.34355
43,0.00620001,0.0057346,0.349763
44,0.00716503,0.00672609,0.356941
45,0.00628914,0.00582748,0.363243
46,0.00663089,0.0061775,0.369889
47,0.00685097,0.00636008,0.376753
48,0.00635134,0.00586676,0.38312
49,0.00686221,0.00638606,0.389996
50,0.00690013,0.00641699,0.396911
51,0.00827303,0.00780811,0.405197
52,0.00634874,0.00586419,0.411564
53,0.00612318,0.0056717,0.417702
54,0.00770795,0.00725898,0.425423
55,0.00627218,0.00575498,0.431709
56,0.00749022,0.00696852,0.43921
57,0.00961816,0.0090601,0.448844
58,0.00797328,0.00734302,0.456835
59,0.00648255,0.00594044,0.463331
60,0.00682133,0.00629837,0.470165
61,0.00702852,0.00637593,0.477207
62,0.00635874,0.00582261,0.48358
63,0.00838945,0.0078019,0.491983
64,0.00694009,0.0063344,0.49894
65,0.00739978,0.0068112,0.506353
66,0.00693819,0.00629727,0.513308
67,0.00704375,0.00640595,0.520365
68,0.0071667,0.00636904,0.52755
69,0.00667074,0.00600334,0.534234
70,0.00821452,0.00755422,0.542461
71,0.00697555,0.00628652,0.54945
72,0.00771026,0.00701629,0.557173
73,0.00749734,0.00672841,0.564691
74,0.00855156,0.00786801,0.573257
75,0.00691909,0.00622012,0.580192
76,0.00839793,0.00769589,0.588602
77,0.00698131,0.00622848,0.595612
78,0.00729581,0.00658645,0.60292
79,0.00785914,0.00680533,0.61079
80,0.00718131,0.00640813,0.617988
81,0.00752186,0.00677101,0.625522
82,0.00807601,0.00723671,0.633613
83,0.00929671,0.00821574,0.642926
84,0.0074314,0.00647529,0.650372
85,0.00788315,0.00697069,0.658275
86,0.00751264,0.00664104,0.665807
87,0.00850255,0.00766581,0.674327
88,0.00706475,0.00622425,0.681406
89,0.00841311,0.00754875,0.689831
90,0.00713707,0.00627221,0.69699
91,0.00823518,0.00732099,0.705238
92,0.00745617,0.00649872,0.712724
93,0.00770849,0.00684516,0.720444
94,0.00774214,0.00670422,0.728198
95,0.00767943,0.00677415,0.73589
96,0.0082311,0.00705473,0.744132
97,0.00750282,0.00655193,0.751647
98,0.00856587,0.00750439,0.760225
99,0.00758456,0.00659824,0.767824
100,0.008807,0.00765055,0.776651
101,0.00782957,0.00674233,0.784494
102,0.00921435,0.00815041,0.793725
103,0.0081273,0.00704779,0.801868
104,0.00898941,0.00773998,0.810873
105,0.00779885,0.00664538,0.818687
106,0.00907227,0.00764092,0.827787
107,0.00840714,0.00719796,0.836209
108,0.00966738,0.00832414,0.845888
109,0.00866076,0.0074568,0.854564
110,0.00842945,0.00702392,0.863028
111,0.00918348,0.00799759,0.872224
112,0.00825689,0.00698819,0.880499
113,0.00978386,0.00845791,0.890295
114,0.00811192,0.00698386,0.898422
115,0.00911487,0.0079453,0.907549
116,0.00825773,0.00705504,0.915822
117,0.0091616,0.00787366,0.924999
118,0.00855383,0.00727811,0.933584
119,0.0100206,0.00878125,0.943618
120,0.00914449,0.00779146,0.952777
121,0.00953905,0.00791319,0.962328
122,0.00941241,0.0081103,0.971754
123,0.00889126,0.00732922,0.980677
124,0.00963909,0.00831921,0.990329
125,0.00875066,0.00741251,0.999092
126,0.0100808,0.0087435,1.00919
127,0.00902821,0.00766113,1.01823
128,0.0102528,0.00857209,1.0285
129,0.0102283,0.0087418,1.03876
130,0.00910447,0.00758421,1.04792
131,0.00968851,0.00831738,1.05762
132,0.0091203,0.00763437,1.06675
133,0.0109535,0.00922005,1.07772
134,0.0111048,0.00918339,1.08884
135,0.00949297,0.00785484,1.09841
136,0.010329,0.00878742,1.10875
137,0.00955184,0.00789683,1.11832
138,0.01105,0.00884933,1.12938
139,0.00935427,0.00774252,1.13875
140,0.00961227,0.00796852,1.14838
141,0.0112788,0.00951977,1.15968
142,0.0103006,0.00862777,1.16999
143,0.0104409,0.00825204,1.18045
144,0.0104829,0.00872388,1.19095
145,0.00999242,0.00820209,1.20095
146,0.0105854,0.00882996,1.21155
147,0.0112581,0.00926654,1.22282
148,0.00989161,0.00805345,1.23273
149,0.0113446,0.00938708,1.24409
150,0.0105341,0.00850887,1.25464
