Paramètres de la simulation
Taille du terrain,1 km
Nombre de cellules par direction,400
Vecteur vitesse du vent,0,0
Position initiale du foyer,10,10
Nombre de threads utilisés,8

TimeStep,Time_Avancement,T_Affichage,T_Total
1,0.0220187,0.0209452,0.022019
2,0.0110999,0.010764,0.0331387
3,0.0105842,0.0103288,0.0437395
4,0.00867198,0.00833594,0.0524338
5,0.00947913,0.00897958,0.0619649
6,0.0104659,0.0100971,0.0724451
7,0.00769431,0.00740652,0.080152
8,0.00633348,0.00588616,0.0865233
9,0.00595021,0.0056587,0.0924928
10,0.00717345,0.00683269,0.0996855
11,0.00621112,0.0057278,0.105913
12,0.0061896,0.00587775,0.112115
13,0.00736578,0.0067519,0.119525
14,0.0066079,0.00609631,0.126164
15,0.00720449,0.00680099,0.133395
16,0.00613493,0.00585447,0.139544
17,0.00854605,0.00827095,0.148103
18,0.0087706,0.00842867,0.156889
19,0.00822282,0.00788055,0.165133
20,0.0062898,0.00596766,0.171442
21,0.00599444,0.00559155,0.177452
22,0.00726704,0.00675929,0.184761
23,0.00604118,0.00569297,0.190815
24,0.00667895,0.00631891,0.197509
25,0.00626889,0.00583599,0.203794
26,0.0069928,0.00665103,0.210803
27,0.00729505,0.00684373,0.218119
28,0.00655036,0.00611607,0.224687
29,0.00808411,0.00756547,0.232785
30,0.00676177,0.00633003,0.239561
31,0.00816529,0.00769933,0.24774
32,0.00580049,0.00542751,0.253554
33,0.00702732,0.00664618,0.260595
34,0.0070362,0.0065155,0.267669
35,0.00657602,0.00610076,0.27426
36,0.00759492,0.00701354,0.281887
37,0.00580799,0.0054378,0.287731
38,0.00845116,0.00804993,0.296193
39,0.00583022,0.0054142,0.302036
40,0.00617275,0.00575517,0.308225
41,0.00637583,0.00590272,0.314632
42,0.00594212,0.00547793,0.320588
43,0.00736762,0.00686265,0.327971
44,0.00596739,0.0054492,0.333957
45,0.00595611,0.00550559,0.339926
46,0.00713491,0.00660263,0.347076
47,0.00594708,0.00545427,0.353042
48,0.00644612,0.0060041,0.359504
49,0.00635476,0.00587352,0.365873
50,0.00622813,0.00572375,0.372119
51,0.0087735,0.00828372,0.380908
52,0.00618737,0.00571754,0.387111
53,0.00754273,0.00705429,0.394669
54,0.00624242,0.00568249,0.400944
55,0.00696648,0.00643436,0.407929
56,0.0068008,0.00619798,0.414765
57,0.00728125,0.00673333,0.42206
58,0.00761064,0.00707981,0.429682
59,0.00627308,0.00569622,0.43597
60,0.00653028,0.00597018,0.442515
61,0.00681809,0.00626605,0.449346
62,0.00604089,0.00545029,0.4554
63,0.00774068,0.00703653,0.463152
64,0.00639013,0.00578478,0.469555
65,0.00677752,0.00612651,0.476346
66,0.00683013,0.00623265,0.483191
67,0.00633293,0.00574032,0.489539
68,0.00767351,0.00705355,0.497226
69,0.00627542,0.00560898,0.503519
70,0.00770124,0.00703365,0.511233
71,0.00648013,0.00577412,0.517739
72,0.0065288,0.00585455,0.524281
73,0.00731799,0.00640149,0.531612
74,0.00639238,0.00552373,0.538018
75,0.00747205,0.00679847,0.5455
76,0.00649608,0.00562606,0.552012
77,0.00714991,0.00642572,0.559173
78,0.00739729,0.00655386,0.566587
79,0.00637956,0.0056288,0.572979
80,0.00744966,0.00649103,0.580445
81,0.00642764,0.00562469,0.586885
82,0.00854072,0.00775497,0.595446
83,0.00672277,0.00576117,0.602189
84,0.00744545,0.00666007,0.609649
85,0.00833403,0.00752673,0.617997
86,0.00854283,0.00771488,0.626554
