Paramètres de la simulation
Taille du terrain,1 km
Nombre de cellules par direction,400
Vecteur vitesse du vent,0,0
Position initiale du foyer,10,10
Nombre de threads utilisés,2

TimeStep,Time_Avancement,T_Affichage,T_Total
1,0.019474,0.0181225,0.019475
2,0.00750988,0.00716865,0.0270063
3,0.00610502,0.00561778,0.0331717
4,0.00546368,0.00522144,0.0386527
5,0.00556698,0.00530584,0.044232
6,0.00541422,0.00511532,0.0496606
7,0.0069868,0.00671514,0.056659
8,0.00577253,0.00555029,0.0624482
9,0.00782696,0.0076357,0.0702906
10,0.00636122,0.00606839,0.076669
11,0.00549985,0.00499421,0.0821841
12,0.00597105,0.00566515,0.0881668
13,0.00763395,0.00728583,0.0958123
14,0.0095805,0.00921693,0.105408
15,0.00725535,0.00692588,0.112679
16,0.00578207,0.00543961,0.118475
17,0.00537553,0.00504271,0.123861
18,0.00735807,0.00702865,0.131232
19,0.00594036,0.00559554,0.137185
20,0.00590461,0.00554867,0.143104
21,0.00712794,0.00649477,0.150249
22,0.0060069,0.00565126,0.156269
23,0.00858454,0.0081991,0.164865
24,0.00653829,0.00610774,0.171417
25,0.00672381,0.00628134,0.178158
26,0.0101641,0.00972026,0.188368
27,0.0105722,0.0100637,0.198957
28,0.00759354,0.00718536,0.206576
29,0.00599948,0.00565441,0.212589
30,0.0080883,0.0077256,0.220689
31,0.00804984,0.00765729,0.228757
32,0.00706378,0.00669625,0.235836
33,0.00569783,0.00533907,0.241546
34,0.00573793,0.00541544,0.247296
35,0.0117997,0.0114657,0.259108
36,0.00700961,0.00659231,0.266131
37,0.00718987,0.00673115,0.273365
38,0.00579548,0.00543101,0.279173
39,0.00734923,0.00700755,0.286535
40,0.005768,0.00534244,0.292318
41,0.00708243,0.00668483,0.299411
42,0.00647508,0.00578914,0.305931
43,0.00612763,0.00574126,0.312073
44,0.0064354,0.00604095,0.318522
45,0.00604293,0.00551751,0.324579
46,0.00608209,0.00563143,0.330672
47,0.00683582,0.00618263,0.33752
48,0.00586357,0.00539904,0.343398
49,0.00650089,0.00600071,0.349908
50,0.006375,0.00579213,0.356307
51,0.00604912,0.00562018,0.362369
52,0.00754468,0.00712111,0.369925
53,0.00602939,0.00555512,0.375967
54,0.00665628,0.00604876,0.382634
55,0.00832469,0.00782939,0.390971
56,0.00618177,0.00571227,0.397163
57,0.00790688,0.00727379,0.405081
58,0.00634682,0.00582378,0.411443
59,0.00752455,0.00695522,0.41898
60,0.006641,0.00596606,0.425649
61,0.0068116,0.00626028,0.432475
62,0.006988,0.00633936,0.439479
63,0.00629861,0.00573296,0.445791
64,0.00752302,0.00692463,0.453324
65,0.00634528,0.00574142,0.459683
66,0.00736543,0.00663342,0.467059
67,0.00662543,0.00586955,0.473721
68,0.0065167,0.00590087,0.480249
69,0.00795507,0.00717309,0.488217
70,0.00658357,0.00592109,0.494814
71,0.00750636,0.00680679,0.502338
72,0.00667322,0.0058231,0.509024
73,0.007285,0.0063806,0.516318
74,0.00705941,0.00610611,0.523402
75,0.00665936,0.00593002,0.530073
76,0.00819065,0.00730395,0.538273
77,0.00673585,0.00603041,0.54502
78,0.00775889,0.0070285,0.55279
79,0.00722017,0.00632203,0.56003
80,0.00780852,0.00687965,0.567852
81,0.00712793,0.00609436,0.575
82,0.00743957,0.00654984,0.58245
83,0.00930187,0.00849076,0.591763
84,0.00833941,0.00744594,0.600118
85,0.00741696,0.00628124,0.607552
86,0.00759062,0.00673682,0.615155
87,0.00790289,0.00673356,0.623076
88,0.00711182,0.00631125,0.63021
89,0.00854598,0.00764202,0.638769
90,0.0070811,0.0062527,0.645863
91,0.00873494,0.00788106,0.654611
92,0.00721398,0.00635385,0.661838
93,0.00763874,0.0067661,0.669487
94,0.00752508,0.00662918,0.677031
95,0.00905243,0.00782113,0.686093
96,0.00745632,0.00640994,0.693566
97,0.00769691,0.0065498,0.701273
98,0.00912116,0.00786362,0.710405
99,0.00913109,0.0079033,0.719552
100,0.00756259,0.00648758,0.727131
101,0.00924757,0.00800244,0.736391
102,0.00787755,0.00671433,0.744281
103,0.0089425,0.00786651,0.753235
104,0.0079182,0.00679232,0.76117
105,0.00925911,0.00819149,0.770441
106,0.00782023,0.00665813,0.778276
107,0.00978675,0.00862371,0.788075
108,0.00798224,0.00686485,0.796072
109,0.00929063,0.00810758,0.805375
110,0.00809486,0.00687093,0.813484
111,0.0104756,0.00910572,0.823972
112,0.00858414,0.00735705,0.832571
113,0.00869376,0.0071434,0.841298
114,0.00908455,0.00789712,0.850396
115,0.00840754,0.00707182,0.858841
116,0.0096006,0.00837955,0.868454
117,0.0105981,0.00926618,0.879064
118,0.00986085,0.00862326,0.888936
119,0.00861957,0.00728326,0.897568
120,0.00980329,0.00829842,0.907383
121,0.0103743,0.00904096,0.91777
122,0.00883569,0.00712339,0.92662
123,0.00985586,0.00829495,0.936489
124,0.00883065,0.00747388,0.945332
125,0.0099787,0.0085113,0.955322
126,0.00891675,0.00753262,0.964253
127,0.00995123,0.008333,0.974216
128,0.00986462,0.00846662,0.984094
129,0.00963889,0.00791809,0.993751
130,0.00970092,0.00827624,1.00347
131,0.00937861,0.00782802,1.01287
132,0.01163,0.0101272,1.02451
133,0.0103017,0.00873117,1.03483
134,0.0095846,0.00801358,1.04443
135,0.0107545,0.00916547,1.0552
136,0.00960051,0.00803758,1.06481
137,0.0104283,0.00830355,1.07529
138,0.0102773,0.00867352,1.08558
139,0.00945353,0.00775695,1.09505
140,0.0105872,0.0089056,1.10565
141,0.010218,0.00853031,1.11588
142,0.0106878,0.0084133,1.12658
143,0.010498,0.00870418,1.13709
144,0.00989757,0.00812023,1.147
145,0.0112297,0.00919243,1.15824
146,0.0108759,0.00903896,1.16913
147,0.0103396,0.00840963,1.17951
148,0.0116046,0.00928282,1.19113
149,0.010691,0.0088541,1.20183
150,0.010539,0.00829396,1.21239
151,0.0125022,0.0102502,1.22491
152,0.0113331,0.00944328,1.23626
153,0.0105135,0.00860731,1.24679
154,0.0127124,0.0106419,1.25951
155,0.0122168,0.00993506,1.27174
156,0.0112118,0.00915269,1.28297
157,0.011988,0.00930424,1.29497
158,0.0131927,0.0108384,1.30818
159,0.0115916,0.00947898,1.31978
160,0.0114709,0.00911865,1.33127
161,0.0123737,0.0097819,1.34368
162,0.0127303,0.0104232,1.35643
163,0.0120544,0.00979603,1.3685
164,0.0112891,0.00902582,1.3798
165,0.0133699,0.0103511,1.39318
166,0.0135254,0.0109377,1.40672
167,0.0124189,0.00984093,1.41916
168,0.0115956,0.00928129,1.43077
169,0.0130021,0.00995897,1.44379
170,0.0133327,0.011035,1.45714
171,0.0122751,0.00986592,1.46942
172,0.011809,0.00942844,1.48125
173,0.0125346,0.00961638,1.4938
174,0.0135699,0.0111594,1.50739
175,0.0126536,0.0102499,1.52006
176,0.0141261,0.0115538,1.5342
177,0.0126217,0.00992131,1.54684
178,0.0135867,0.0101226,1.56044
179,0.0139908,0.0114441,1.57445
180,0.0131308,0.0104898,1.58759
181,0.0129285,0.010353,1.60053
182,0.0123816,0.00966971,1.61294
183,0.0126738,0.00997444,1.62563
184,0.0126955,0.0100999,1.63833
185,0.0125879,0.0100598,1.65093
186,0.0130107,0.00998951,1.66395
187,0.0128104,0.010116,1.67678
188,0.0127931,0.00994749,1.68959
189,0.0127299,0.00996705,1.70233
190,0.0127727,0.010021,1.71511
191,0.0126764,0.00999979,1.7278
192,0.0125876,0.00990688,1.7404
193,0.0129368,0.00992159,1.75335
194,0.0126514,0.00999132,1.76601
195,0.012967,0.0100849,1.77901
196,0.0128478,0.0102025,1.79187
197,0.0127923,0.0102459,1.80467
198,0.0128097,0.0102404,1.81749
199,0.0126436,0.0100595,1.83015
200,0.0128061,0.0102144,1.84296
201,0.0129612,0.0103132,1.85594
202,0.0138039,0.0108709,1.86975
203,0.014406,0.0113864,1.88419
204,0.0133948,0.0105765,1.89759
205,0.0133004,0.0104507,1.9109
206,0.0132935,0.0105454,1.92421
207,0.0135215,0.0107124,1.93775
208,0.0130575,0.0103198,1.95082
209,0.0131459,0.0104448,1.96397
210,0.0130843,0.010338,1.97707
211,0.0132209,0.0104782,1.9903
212,0.0132549,0.0104674,2.00357
213,0.0135102,0.0105949,2.01709
214,0.0135485,0.0107336,2.03065
215,0.0140938,0.0112408,2.04476
216,0.0135412,0.0106247,2.05831
217,0.0137775,0.0109084,2.0721
218,0.0138601,0.0109211,2.08597
219,0.0139666,0.0109766,2.09995
220,0.0139549,0.0110424,2.11392
221,0.0139759,0.0110446,2.12791
222,0.0136971,0.0107682,2.14162
223,0.0139798,0.0111462,2.15561
224,0.0141995,0.0112191,2.16982
225,0.0142663,0.0112462,2.1841
226,0.0143192,0.0113124,2.19843
227,0.014423,0.0114124,2.21286
228,0.014438,0.0113637,2.22732
229,0.014842,0.0117052,2.24217
230,0.0148506,0.0117347,2.25703
231,0.0148819,0.0117406,2.27193
232,0.0146729,0.0115209,2.28662
233,0.0147364,0.0115709,2.30137
234,0.0147944,0.0115564,2.31617
235,0.0145815,0.0114216,2.33077
236,0.0145677,0.01145,2.34535
237,0.0148696,0.0116198,2.36023
238,0.0146705,0.0114874,2.37491
239,0.0152583,0.0119974,2.39019
240,0.0155049,0.012147,2.4057
241,0.0155513,0.0122021,2.42127
242,0.0155523,0.0121523,2.43683
243,0.0156983,0.0122726,2.4526
244,0.0155622,0.0120337,2.46817
245,0.0153138,0.011864,2.4835
246,0.0154713,0.0120094,2.49898
247,0.0157516,0.012216,2.51474
248,0.0156243,0.0121081,2.53038
249,0.0156497,0.0121774,2.54604
250,0.015729,0.0122168,2.56179
251,0.0163592,0.012677,2.57816
252,0.0166238,0.0129548,2.59479
253,0.0166866,0.0129353,2.6115
254,0.0160354,0.012442,2.62755
255,0.0157465,0.0121875,2.64331
256,0.0162068,0.0125519,2.65952
257,0.0163454,0.0126164,2.67588
258,0.0162351,0.0126474,2.69213
259,0.0164856,0.0128218,2.70862
260,0.016255,0.0126047,2.72489
261,0.0166942,0.0130315,2.7416
262,0.0169791,0.0131352,2.75859
263,0.0172174,0.0135225,2.77582
264,0.0167552,0.0130561,2.79259
265,0.0171769,0.0130816,2.80978
266,0.0165336,0.0128476,2.82632
267,0.0167045,0.0129954,2.84304
268,0.0168569,0.0131924,2.8599
269,0.0170156,0.0133081,2.87693
270,0.0176818,0.0140387,2.89463
271,0.0176123,0.0137755,2.91225
272,0.0174426,0.0135345,2.92971
273,0.0177826,0.0139416,2.9475
274,0.0175355,0.013714,2.96505
275,0.0174419,0.0136356,2.9825
276,0.0173268,0.0135111,2.99984
277,0.017434,0.0135971,3.01728
278,0.0174455,0.0135596,3.03474
279,0.0177098,0.0138292,3.05246
280,0.0179031,0.013819,3.07038
281,0.0180431,0.0139545,3.08843
282,0.0179224,0.0138624,3.10636
283,0.0186221,0.0144853,3.125
284,0.0185448,0.0143522,3.14356
285,0.0184878,0.0142968,3.16205
286,0.018376,0.0142338,3.18044
287,0.018393,0.0143175,3.19885
288,0.0182069,0.0139426,3.21707
289,0.0184752,0.0142151,3.23555
290,0.0186999,0.0145148,3.25426
291,0.0191756,0.0149372,3.27345
292,0.019688,0.0152731,3.29315
293,0.0194867,0.014958,3.31265
294,0.01942,0.0148307,3.33209
295,0.0192369,0.0146533,3.35134
296,0.019506,0.014998,3.37085
297,0.0195427,0.0150181,3.39041
298,0.0201793,0.0155872,3.4106
299,0.0194156,0.014887,3.43003
300,0.019666,0.015076,3.44971
301,0.0212498,0.0165576,3.47097
302,0.0210349,0.0158971,3.49202
303,0.0207995,0.0158523,3.51283
304,0.0206437,0.0157242,3.53349
305,0.0204194,0.0155802,3.55392
306,0.0208771,0.016038,3.57482
307,0.0209354,0.0159938,3.59576
308,0.0206049,0.0157426,3.61638
309,0.020484,0.0157719,3.63688
310,0.0209062,0.0158294,3.6578
311,0.0205565,0.0157381,3.67837
312,0.0209564,0.0159946,3.69934
313,0.0210824,0.0162235,3.72044
314,0.0223984,0.0163723,3.74285
315,0.0216975,0.0161258,3.76456
316,0.0218067,0.0162893,3.78638
317,0.0222698,0.0164281,3.80867
318,0.0225348,0.0166477,3.83121
319,0.0225157,0.0167072,3.85374
320,0.0232228,0.0169583,3.87698
321,0.0230952,0.0173069,3.90009
322,0.0227479,0.0165087,3.92285
323,0.0228943,0.0169834,3.94575
324,0.0224146,0.0170025,3.96819
325,0.0233799,0.0173537,3.99158
326,0.0234171,0.0170781,4.01501
327,0.023038,0.0170485,4.03806
328,0.0236481,0.0172474,4.06172
329,0.023861,0.0177286,4.08559
330,0.0226547,0.0169788,4.10826
331,0.023645,0.0173596,4.13191
332,0.0233246,0.0170538,4.15525
333,0.0226876,0.0169398,4.17795
334,0.023604,0.0171234,4.20156
335,0.0239147,0.0177952,4.2255
336,0.0236246,0.0174652,4.24913
337,0.0238877,0.01754,4.27303
338,0.0250575,0.0177412,4.2981
339,0.0239038,0.0178984,4.32202
340,0.0243975,0.0182328,4.34643
341,0.0241716,0.0183125,4.37061
342,0.02503,0.0183834,4.39565
343,0.0249746,0.0181579,4.42064
344,0.0248659,0.0181146,4.44552
345,0.0254222,0.0184712,4.47096
346,0.0253705,0.0186915,4.49634
347,0.0257981,0.0188081,4.52215
348,0.025283,0.018568,4.54744
349,0.0255878,0.0184706,4.57305
350,0.0255795,0.0187044,4.59864
351,0.0262304,0.0190133,4.62489
352,0.0260385,0.0192423,4.65095
353,0.0263921,0.0192249,4.67735
354,0.0259899,0.0190197,4.70336
355,0.0246081,0.0181379,4.72798
