Paramètres de la simulation
Taille du terrain,1 km
Nombre de cellules par direction,300
Vecteur vitesse du vent,0,0
Position initiale du foyer,10,10
Nombre de threads utilisés,8

TimeStep,Time_Avancement,T_Affichage,T_Total
1,0.012215,0.0111663,0.0122153
2,0.00439275,0.00423405,0.0166307
3,0.00446963,0.00409134,0.0211327
4,0.00309994,0.00297449,0.0242516
5,0.00347335,0.00330763,0.0277357
6,0.00325358,0.00306045,0.0310049
7,0.00334479,0.0032081,0.0343609
8,0.00299422,0.00287377,0.0373668
9,0.0034879,0.00337239,0.0408642
10,0.00346394,0.00333833,0.0443413
11,0.00439508,0.00399617,0.0487478
12,0.00393787,0.00369385,0.0527159
13,0.00326288,0.00305972,0.0559935
14,0.00375455,0.00357271,0.0597643
15,0.00447379,0.00427911,0.0642526
16,0.00575082,0.00549765,0.0700224
17,0.00358804,0.0032809,0.0736315
18,0.00338355,0.00309346,0.0770859
19,0.00319762,0.0030052,0.0802975
20,0.00332348,0.00312199,0.0836372
21,0.00511201,0.00489403,0.0888049
22,0.00420606,0.00389631,0.093024
23,0.00357302,0.00327441,0.0966147
24,0.00446813,0.00410816,0.101094
25,0.00431738,0.00381458,0.105449
26,0.00384987,0.00359343,0.109312
27,0.00373549,0.00351389,0.113059
28,0.00408133,0.00377782,0.117152
29,0.00426561,0.00351798,0.121454
30,0.00482814,0.00447998,0.126326
31,0.00381238,0.00356422,0.130153
32,0.00396651,0.00370587,0.134132
33,0.00372842,0.00349105,0.137875
34,0.00336459,0.0030958,0.141254
35,0.0040794,0.00375248,0.145365
36,0.00412018,0.00376786,0.14951
37,0.00485294,0.00454225,0.15438
38,0.00549076,0.00502665,0.159889
39,0.00528721,0.00474349,0.165218
40,0.00539554,0.00504132,0.170632
41,0.00561372,0.00524288,0.176289
42,0.00507882,0.00470923,0.181384
43,0.00710137,0.00673914,0.188502
44,0.00563431,0.00524223,0.194152
45,0.00592163,0.00553381,0.200092
46,0.00580207,0.00533109,0.205913
47,0.00570114,0.00526853,0.21163
48,0.00480794,0.00413889,0.21651
49,0.0039946,0.00353533,0.220518
50,0.00364851,0.00324981,0.22418
51,0.00477326,0.00411774,0.228964
52,0.00415008,0.00365473,0.233148
53,0.00380867,0.00333336,0.236966
54,0.00366643,0.00329549,0.240647
55,0.00550998,0.00496294,0.246179
56,0.00362444,0.00322812,0.249819
57,0.00388343,0.00341885,0.253716
58,0.00360437,0.00320572,0.257333
59,0.00515068,0.00460947,0.262493
60,0.00364254,0.00320409,0.26615
61,0.00386069,0.00335574,0.270021
62,0.00367596,0.00325715,0.273711
63,0.00720216,0.0066699,0.280922
64,0.00475395,0.00427028,0.28569
65,0.00381143,0.00335467,0.289517
66,0.00548782,0.00505721,0.295019
67,0.0038305,0.00338482,0.298866
68,0.00378747,0.00335426,0.302665
69,0.00382288,0.00337657,0.3065
70,0.00520776,0.00462942,0.311719
71,0.00396005,0.00341193,0.315698
72,0.00402791,0.00339897,0.319738
73,0.00392081,0.00340594,0.32367
74,0.00530046,0.00464802,0.328979
75,0.00392609,0.00338562,0.332923
76,0.00424107,0.00353553,0.337178
77,0.00474412,0.00417848,0.341936
78,0.00528962,0.00453876,0.347243
79,0.00456969,0.00387614,0.351829
80,0.00393448,0.00336399,0.355778
81,0.00550617,0.00490025,0.361295
82,0.00459754,0.00393781,0.365909
83,0.00467172,0.00388552,0.370591
84,0.00493286,0.00429477,0.375538
85,0.00499961,0.0039348,0.380556
86,0.00417905,0.00349286,0.384753
87,0.0041326,0.00342783,0.3889
88,0.00565371,0.00492907,0.394566
89,0.00428051,0.00353877,0.39887
90,0.00455897,0.00362608,0.403441
91,0.00447862,0.00371309,0.407936
92,0.00759343,0.00657421,0.415544
93,0.00506702,0.00407217,0.420664
94,0.00578698,0.00495422,0.426465
95,0.00505199,0.00390738,0.431535
96,0.0048151,0.00380885,0.436365
97,0.00450009,0.0036919,0.440878
98,0.00555878,0.00432507,0.446447
99,0.00469465,0.00380961,0.451159
100,0.00450428,0.00359756,0.455678
101,0.00642364,0.00534177,0.462114
102,0.00536564,0.00442732,0.467496
103,0.00535978,0.00444137,0.472866
104,0.00656317,0.00564522,0.479443
105,0.00499151,0.00400392,0.48445
106,0.00489394,0.00388429,0.489355
107,0.00614195,0.00508537,0.495512
108,0.0049825,0.00391358,0.500513
109,0.00522033,0.00402344,0.505744
110,0.00661457,0.00552334,0.512373
111,0.00551376,0.00441224,0.517901
112,0.00497879,0.00390533,0.522892
113,0.00604413,0.00494866,0.528947
114,0.00524341,0.00414422,0.534203
115,0.00512299,0.00403715,0.539337
116,0.00656779,0.00545272,0.545918
117,0.00531398,0.0041484,0.551245
118,0.00534193,0.00419807,0.556603
119,0.00639508,0.00509585,0.56301
120,0.00544118,0.00422089,0.568465
121,0.00543114,0.00422492,0.573908
122,0.00584053,0.00457916,0.579758
123,0.00609059,0.00482026,0.585864
124,0.00558999,0.00451807,0.591465
125,0.00563235,0.00422213,0.597112
126,0.00522474,0.0041088,0.602354
127,0.00543558,0.00430157,0.607803
128,0.0108699,0.00956554,0.618691
129,0.00577866,0.0045717,0.624486
130,0.0060602,0.0044792,0.630559
131,0.00560679,0.00442493,0.63618
132,0.00540677,0.00424464,0.641601
133,0.00861472,0.00717642,0.650231
134,0.00563483,0.00436767,0.655885
135,0.00715677,0.00572562,0.663061
136,0.00572319,0.00441794,0.6688
137,0.00662497,0.00534213,0.675445
138,0.00783896,0.00639839,0.683302
139,0.00612135,0.00473425,0.689443
140,0.00837507,0.00696027,0.697839
141,0.00629359,0.00462925,0.704151
142,0.00732921,0.00593716,0.711496
143,0.00701725,0.00503961,0.718528
144,0.0075898,0.00602234,0.726131
145,0.00695877,0.00500706,0.733148
146,0.00620264,0.00461694,0.739369
147,0.00746962,0.00593566,0.746859
148,0.00795082,0.00635034,0.754825
149,0.007942,0.00643266,0.762781
150,0.00638076,0.00481339,0.769177
151,0.00666622,0.00507616,0.775855
152,0.00691952,0.00484228,0.78279
153,0.00678646,0.00484174,0.789589
154,0.00771391,0.00598394,0.797317
155,0.00663033,0.00492663,0.803961
156,0.00827024,0.00660308,0.812244
157,0.00669924,0.00503729,0.818963
158,0.00724056,0.00552663,0.826218
159,0.00720601,0.00505766,0.83346
160,0.00708392,0.00511204,0.840557
161,0.00782286,0.00524473,0.848391
162,0.00723838,0.00512042,0.855647
163,0.0102427,0.0078336,0.86591
164,0.00927195,0.0070124,0.875195
165,0.00900078,0.00685232,0.884216
166,0.00671919,0.00486339,0.89095
167,0.00816852,0.00554576,0.899153
168,0.00745309,0.00510191,0.90662
169,0.0099734,0.00752105,0.916607
170,0.00760172,0.00529967,0.924222
171,0.00998637,0.00715964,0.934223
172,0.00731602,0.00526437,0.941553
173,0.00954998,0.00675118,0.951115
174,0.00736964,0.00524839,0.9585
175,0.010118,0.00771893,0.968639
176,0.00843938,0.00625866,0.977101
177,0.00921607,0.00670283,0.986336
178,0.00960129,0.0074595,0.995954
179,0.00861097,0.00612315,1.00458
180,0.00880159,0.00663811,1.0134
181,0.00851111,0.00623564,1.02193
182,0.00895724,0.00679523,1.0309
183,0.00856841,0.00635293,1.03948
184,0.0104921,0.00825337,1.04999
185,0.00887135,0.00663261,1.05888
186,0.00910318,0.00674537,1.068
187,0.00891405,0.00658134,1.07693
188,0.00896779,0.00643535,1.08594
189,0.00943422,0.00712011,1.09539
190,0.00892884,0.00651227,1.10434
191,0.0093181,0.0069611,1.11368
192,0.00927911,0.00672466,1.12297
193,0.010178,0.00771015,1.13316
194,0.00941842,0.0067823,1.14259
195,0.00975507,0.0070186,1.15237
196,0.00966797,0.00711213,1.16205
197,0.00962921,0.00706393,1.1717
198,0.0106554,0.00795925,1.18237
199,0.00998934,0.00726505,1.19238
200,0.0101285,0.00724859,1.20252
201,0.0111885,0.00837062,1.21373
202,0.00906804,0.00615026,1.22281
203,0.0110161,0.00806262,1.23384
204,0.0112889,0.00844641,1.24515
205,0.0117111,0.00862542,1.25689
206,0.0125665,0.00914405,1.26947
207,0.0107078,0.00780328,1.28019
208,0.00971897,0.00668244,1.28992
209,0.0108967,0.00728533,1.30083
210,0.0115991,0.00860568,1.31244
211,0.00959072,0.00655819,1.32206
212,0.0108707,0.00771411,1.33294
213,0.010657,0.00749464,1.34361
214,0.0114291,0.00812261,1.35506
215,0.0131159,0.00982683,1.36819
216,0.0113655,0.00809602,1.37957
217,0.0108472,0.00772406,1.39044
218,0.0120011,0.00818601,1.40246
219,0.0110682,0.0079552,1.41355
220,0.0111757,0.00804751,1.42474
221,0.0115284,0.00797786,1.4363
222,0.0110775,0.0079381,1.44739
223,0.0101148,0.00680536,1.45752
224,0.0114901,0.00736709,1.46902
225,0.0121298,0.00850694,1.48117
226,0.0113531,0.00775913,1.49254
227,0.0129447,0.00885987,1.5055
228,0.0137731,0.00985874,1.51928
229,0.0129704,0.00942278,1.53227
230,0.0123876,0.0086995,1.54467
231,0.0117193,0.00814179,1.55641
232,0.0118569,0.00754342,1.56828
233,0.0115987,0.00798992,1.57989
234,0.0125425,0.00893099,1.59245
235,0.0123112,0.0086508,1.60478
236,0.01149,0.00782489,1.61633
237,0.01151,0.00779365,1.62786
238,0.011064,0.00738287,1.63894
239,0.0112933,0.00756293,1.65024
240,0.0114486,0.00769097,1.66171
241,0.012033,0.00824172,1.67375
242,0.0115897,0.00793161,1.68536
243,0.0129496,0.00938466,1.69832
244,0.0167089,0.0129951,1.71505
245,0.0120979,0.00831851,1.72716
246,0.0119716,0.00831236,1.73915
247,0.0115412,0.00784315,1.75071
248,0.0115879,0.007881,1.76231
249,0.0111678,0.00739327,1.7735
250,0.0121943,0.00841058,1.78571
251,0.0127657,0.00893009,1.79849
252,0.0115697,0.00766626,1.81007
253,0.0116466,0.00778554,1.82173
254,0.0119935,0.00783681,1.83374
255,0.0115758,0.00772312,1.84533
256,0.0118841,0.00788102,1.85722
257,0.0125658,0.00800962,1.8698
258,0.0130985,0.00855636,1.88292
259,0.0128613,0.00823268,1.89579
260,0.0133976,0.00823644,1.9092
261,0.0130188,0.00809887,1.92223
262,0.0121368,0.00811263,1.93438
263,0.0121806,0.00819558,1.94658
264,0.0125794,0.00829515,1.95917
265,0.0130887,0.00834187,1.97228
266,0.0122948,0.00774763,1.98459
267,0.0119599,0.00780167,1.99657
268,0.0121801,0.00799166,2.00876
269,0.0123023,0.00797092,2.02108
270,0.0122538,0.00809303,2.03335
271,0.0125374,0.007944,2.0459
272,0.0121217,0.00804038,2.05804
273,0.0128291,0.00809983,2.07088
274,0.0124715,0.0083588,2.08337
275,0.0131985,0.00840356,2.09658
276,0.012532,0.00829967,2.10912
277,0.0130674,0.00833942,2.1222
278,0.0124814,0.00822871,2.13469
279,0.0131486,0.00841439,2.14785
280,0.012777,0.00851603,2.16064
281,0.0133348,0.0084997,2.17399
282,0.0136247,0.00883539,2.18763
283,0.0138777,0.00880489,2.20152
284,0.0144545,0.00934756,2.21599
285,0.0129868,0.00846661,2.22899
286,0.01632,0.0118164,2.24533
287,0.0187438,0.0135194,2.26409
288,0.0175764,0.0124947,2.28168
289,0.018718,0.0131331,2.30041
